local_identifier,individual_id,sex,taxon_canonical_name,country,study_id,name_lc,is_human_name,creativity_score,pos_score,neg_score,total_births
Franz' girlie,2928145,f,Chelonoidis,NA,2928116,franz' girlie,FALSE,0.1955128205128206,0.4820512820512821,0.33974358974358976,0
Freddy V,13475510,m,Chelonoidis porteri,NA,2928116,freddy v,FALSE,0.08333333333333337,0.45000000000000007,0.41666666666666674,0
Fredy,2928146,m,Chelonoidis donfaustoi,NA,2928116,fredy,TRUE,0,0.5166666666666667,0.3666666666666667,4159
Gaby,18644888,f,Chelonoidis hoodensis,NA,2928116,gaby,TRUE,0,0.3666666666666667,0.5,1172
Gessica,1404078313,f,Chelonoidis porteri,NA,2928116,gessica,TRUE,0,0.4380952380952381,0.4047619047619049,200
Gislayne,3931590473,,Chelonoidis hoodensis,NA,2928116,gislayne,FALSE,0.08333333333333337,0.3416666666666667,0.4027777777777779,0
Gnasher,10812798,,Chelonoidis porteri,NA,2928116,gnasher,FALSE,0.09523809523809523,0.3238095238095239,0.3849206349206349,0
Graciella,13475408,f,Chelonoidis porteri,NA,2928116,graciella,TRUE,0,0.14814814814814825,0.3101851851851851,856
Greg,2928147,m,Chelonoidis,NA,2928116,greg,TRUE,0,0.3666666666666667,0.2777777777777779,77695
Guillaume,2867736509,,,NA,2928116,guillaume,TRUE,0,0.45925925925925926,0.5462962962962963,319
Guinness,2867736512,,,NA,2928116,guinness,TRUE,0,0.36111111111111116,0.41666666666666674,24
Hamish,18643808,m,Chelonoidis hoodensis,NA,2928116,hamish,TRUE,0,0.5277777777777779,0.38888888888888895,233
Harry,196152553,m,Chelonoidis donfaustoi,NA,2928116,harry,TRUE,0,0.5166666666666667,0.4222222222222223,422925
Heidi,2263190481,f,Chelonoidis donfaustoi,NA,2928116,heidi,TRUE,0,0.5166666666666667,0.4222222222222223,142777
Helber,2928148,m,Chelonoidis donfaustoi,NA,2928116,helber,FALSE,0.05555555555555558,0.38888888888888895,0.5277777777777779,0
Helena,2068048607,f,Chelonoidis donfaustoi,NA,2928116,helena,TRUE,0,0.38888888888888895,0.5277777777777779,34876
Herbert,2928149,m,Chelonoidis donfaustoi,NA,2928116,herbert,TRUE,0,0.4047619047619049,0.4380952380952381,228875
Hidalgo,2867736517,,,NA,2928116,hidalgo,FALSE,0.13095238095238093,0.5357142857142858,0.3373015873015873,0
Iggy,18824661,,Chelonoidis porteri,NA,2928116,iggy,TRUE,0,0.4722222222222223,0.5,11
Inoho,13475390,f,Chelonoidis porteri,NA,2928116,inoho,FALSE,0.1333333333333333,0.48888888888888893,0.5333333333333334,0
Isabela,2928150,f,Chelonoidis,NA,2928116,isabela,TRUE,0,0.4380952380952381,0.4047619047619049,9494
Jack,930871574,m,Chelonoidis porteri,NA,2928116,jack,TRUE,0,0.3666666666666667,0.5,687703
Jake,18643774,,Chelonoidis porteri,NA,2928116,jake,TRUE,0,0.3666666666666667,0.33333333333333337,121887
James,2928151,m,Chelonoidis hoodensis,NA,2928116,james,TRUE,0,0.4,0.3666666666666667,5173828
Jamie,13456143,,Chelonoidis porteri,NA,2928116,jamie,TRUE,0,0.4,0.3666666666666667,352898
Jamie Palmer,1657659946,f,Chelonoidis,NA,2928116,jamie palmer,FALSE,0.16666666666666674,0.47777777777777786,0.44444444444444453,0
Jeneene,2928152,f,Chelonoidis,NA,2928116,jeneene,TRUE,0,0.4380952380952381,0.5357142857142858,17
Johnny,196149133,m,Chelonoidis porteri,NA,2928116,johnny,TRUE,0,0.33333333333333337,0.5277777777777779,315283
Jumbo,2928153,m,Chelonoidis donfaustoi,NA,2928116,jumbo,FALSE,0.1333333333333333,0.48888888888888893,0.5444444444444445,0
Jumbo_2,18646383,m,Chelonoidis donfaustoi,NA,2928116,jumbo_2,FALSE,0.20952380952380956,0.5079365079365079,0.5523809523809524,0
